DR,CRIMETYPE,RD,BASICCAR,BEGDATE,ENDDATE,BEGTIME,ENDTIME,WATCH,DOW,CRIMELOC,MOCODES,X,Y,XY
231819897,GTA,1863,A63,26/11/2023,26/11/2023,400,1100,AM2,Sunday,612 E IMPERIAL HY,,6481427.4,1797333.2,"6481427.400000006,1797333.200000003"
231820137,GTA,1846,A35,26/11/2023,26/11/2023,1400,1400,PM1,Sunday,1413 E IMPERIAL HY,,6485873.28,1796834.811,"6485873.279835222,1796834.811359349"
231819926,AGG,1849,A49,26/11/2023,26/11/2023,1810,1810,PM2,Sunday,2077 E IMPERIAL HY,0302 0443 0913 1310 1402,6490530.6,1796760.9,"6490530.599999994,1796760.900000006"
231819884,THEFT,1804,A03,26/11/2023,26/11/2023,220,220,AM1,Sunday,CENTRAL AV & MANCHESTER,0344 1252 1822,6483918.001,1807989.251,"6483918.001203641,1807989.2514242083"
231819891,GTA,1837,A35,26/11/2023,26/11/2023,915,915,AM2,Sunday,1802 E 114TH ST,,6488851.6,1797360.7,"6488851.599999994,1797360.700000003"
231801018,GTA,1836,A35,26/11/2023,26/11/2023,945,945,AM2,Sunday,SUCCESS AV & 103RD ST,0329 1302 1402,6486106.998,1801831.122,"6486106.998137981,1801831.1223362982"
231819905,GTA,1864,A63,26/11/2023,26/11/2023,1,1200,AM2,Sunday,11419 CLOVIS AV,,6483818.4,1797119.6,"6483818.400000006,1797119.599999994"
231819932,ROBB,1824,A34,26/11/2023,26/11/2023,1635,1635,PM1,Sunday,CENTURY BL & AVALON,0216 0344 0355 0371 0432 0443 1251 1259 1822 2024,6481246.002,1802696.501,"6481246.001626402,1802696.5008548796"
231819943,GTA,1834,A34,26/11/2023,27/11/2023,1800,850,AM1,Sunday,106TH & STANFORD,,6481904.5,1800702.755,"6481904.499981314,1800702.7545142919"
231819944,GTA,1834,A34,26/11/2023,27/11/2023,1800,850,AM1,Sunday,106TH & STANFORD,,6481904.5,1800702.755,"6481904.499981314,1800702.7545142919"
231820007,AGG,1839,A49,27/11/2023,27/11/2023,1015,1015,AM2,Monday,10626 GORMAN AV,0334 1822,6491726.6,1800258.5,"6491726.599999994,1800258.5"
231819949,GTA,1849,A49,27/11/2023,27/11/2023,1000,1000,AM2,Monday,2056 E 115TH ST,,6490233.497,1797145.646,"6490233.49710404,1797145.646048025"
231819963,ROBB,1804,A03,27/11/2023,27/11/2023,1000,1000,AM2,Monday,8600 AVALON BL,0325 0334 0344 0432 1822 2021,6481336.2,1807911.1,"6481336.200000003,1807911.099999994"
231819992,ROBB,1822,A17,27/11/2023,27/11/2023,2330,2330,PM2,Monday,CENTRAL AV & CENTURY,0344 0416 1202 1218 1822,6484606.504,1802706.379,"6484606.504091725,1802706.379115969"
231820019,GTA,1806,A03,27/11/2023,28/11/2023,1900,600,AM1,Monday,9100 AVALON BL,,6481285.941,1805666.897,"6482657.9548392,1805845.1750036925"
231820020,THEFT,1826,A26,27/11/2023,27/11/2023,2158,2159,PM2,Monday,1645 E 103RD ST,0104 0325 1822,6487349.1,1801851.8,"6487349.099999994,1801851.799999997"
231820017,THEFT,1806,A03,27/11/2023,27/11/2023,1045,1845,PM1,Monday,89TH ST & CENTRAL AV,0344 1822,6483908.999,1806334.126,"6483908.99892506,1806334.1257974654"
231819986,THEFT,1826,A26,27/11/2023,27/11/2023,415,415,AM1,Monday,9559 GRANDEE AV,0344 1822,6487795.7,1804225.9,"6487795.700000003,1804225.900000006"
231820108,GTA,1824,A34,27/11/2023,29/11/2023,700,2230,PM1,Monday,STANFORD & COLDEN,,6481910,1804022.999,"6481910.000298396,1804022.9988580495"
231819999,ROBB,1827,A26,27/11/2023,27/11/2023,2215,2215,PM2,Monday,103RD ST & GRAHAM AV,0209 0326 0344 0371 0400 0432 1251 1313 1822,6487817.999,1801807.255,"6489311.250259608,1803624.8936831057"
231820061,ROBB,1827,A26,28/11/2023,28/11/2023,900,900,AM2,Tuesday,WILMINGTON & 103RD ST,0344 0400 1223 1822,6489161.499,1801775.003,"6489161.498590648,1801775.003025964"
231820074,BURG,1838,A49,28/11/2023,29/11/2023,2040,430,AM1,Tuesday,10306 WILMINGTON AV,0216 0329 0344 1609 1822,6489216.8,1801694.5,"6489216.799999997,1801694.5"
231820010,AGG,1846,A35,28/11/2023,28/11/2023,635,635,AM2,Tuesday,1330 E 115TH ST,0216 0342 0430 0450 0906 1100 1313 1407 1822,6485423.345,1797072.58,"6485423.345010327,1797072.5798655115"
231819997,BURG,1829,A26,28/11/2023,28/11/2023,255,255,AM1,Tuesday,9800 LAUREL ST,0216 0329 0344 0382 1300 1402 1607 1822,6491671.409,1803428.46,"6491671.409294864,1803428.459562145"
231820075,THEFT,1834,A34,29/11/2023,29/11/2023,1015,1015,AM2,Wednesday,104TH ST & AVALON BL,0344 1822,6481241.004,1801352.628,"6481241.003932983,1801352.6275583804"
231820076,THEFT,1863,A63,29/11/2023,29/11/2023,1352,1352,PM1,Wednesday,11513 STANFORD AV,0216 0344 1822,6482096.6,1796885.6,"6482096.599999994,1796885.599999994"
231820060,BURG,1806,A03,29/11/2023,29/11/2023,2215,2215,PM2,Wednesday,8922 S CENTRAL AV,0216 0329 0344 1601 1602 1609 1822 2024,6483964.5,1806095.2,"6483964.5,1806095.200000003"
231820151,BTFV,1804,A03,29/11/2023,30/11/2023,2130,610,AM1,Wednesday,8724 AVALON BL,0329 0344 0358 1302 1307,6481321.9,1807382.2,"6481321.900000006,1807382.200000003"
231820102,ROBB,1804,A03,29/11/2023,29/11/2023,1912,1912,PM2,Wednesday,1014 E MANCHESTER AV,0342 0344 0371 0400 1300 1822,6483682.4,1807926.5,"6483682.400000006,1807926.5"
231820066,GTA,1826,A26,29/11/2023,29/11/2023,600,600,AM2,Wednesday,9536 DEFIANCE AV,1402,6487307.7,1804131,"6487307.700000003,1804131.0"
231801021,RAPE1,1844,A34,30/11/2023,30/11/2023,2200,2200,PM2,Thursday,WADSWORTH & IMPERIAL,0416 0429 0444 0527 0913 1311 1402 1409 1415,6483223.997,1797348.376,"6483223.996686146,1797348.376052469"
231820136,THEFT,1863,A63,30/11/2023,30/11/2023,1003,1003,AM2,Thursday,600 E IMPERIAL HY,0216 0325 0344 1822 2024,6481377.3,1797337.8,"6481377.299999997,1797337.799999997"
231820173,GTA,1864,A63,30/11/2023,01/12/2023,2245,1215,AM1,Thursday,CENTRAL AV & IMPERIAL HY,,6484536.5,1796813.25,"6484536.50029473,1796813.2501542121"
231820264,AGG,1827,A26,01/12/2023,01/12/2023,700,2200,PM1,Friday,9214 BEACH ST,0329 1100 1822,6488340.2,1805289.2,"6488340.200000003,1805289.200000003"
231820193,ROBB,1846,A35,01/12/2023,01/12/2023,2050,2050,PM2,Friday,112TH ST & ALVARO ST,0330 0334 0342 0354 0355 0913 1259 1304 1822 2024,6484868.003,1798146.002,"6484868.002584472,1798146.002081886"
231820252,AGG,1824,A34,02/12/2023,02/12/2023,1950,1950,PM2,Saturday,755 E 98TH ST,0329 1100 1822,6482464.4,1803417.3,"6482464.400000006,1803417.299999997"
231820258,AGG,1804,A03,02/12/2023,02/12/2023,1145,1145,AM2,Saturday,8600 S CENTRAL AV,0416 1300 1309 1822,6483977.3,1807897.1,"6483977.299999997,1807897.099999994"
231820243,ROBB,1829,A26,02/12/2023,02/12/2023,1720,1720,PM1,Saturday,9800 LAUREL ST,0416 0945 1822,6491671.409,1803428.46,"6491671.409294864,1803428.459562145"
231820296,BTFV,1821,A17,02/12/2023,03/12/2023,2100,850,AM1,Saturday,855 W 102ND ST,0344 1822,6483131,1802156.7,"6483131.0,1802156.700000003"
